run_id,scenario,model,arm,tokens_in,tokens_out,latency_ms,passed
r001,git_diff_review,claude-opus-4-8,path_ref,1187,742,3412,true
r002,git_diff_review,claude-opus-4-8,inline_paste,5043,698,6188,true
r003,git_diff_review,claude-opus-4-8,no_render,1094,1310,4025,false
r004,git_diff_review,claude-sonnet-4-6,path_ref,1163,689,2214,true
r005,git_diff_review,claude-sonnet-4-6,inline_paste,5019,731,4877,true
r006,git_diff_review,claude-sonnet-4-6,no_render,1071,1188,2903,false
r007,git_diff_review,claude-haiku-4-5,path_ref,1158,604,1342,true
r008,git_diff_review,claude-haiku-4-5,inline_paste,5008,1027,3560,false
r009,git_diff_review,claude-opus-4-8,inline_paste,5127,745,6402,true
r010,git_diff_review,claude-sonnet-4-6,path_ref,1172,712,2358,true
r011,csv_sort_table,claude-opus-4-8,path_ref,982,516,2740,true
r012,csv_sort_table,claude-opus-4-8,inline_paste,2361,538,4113,true
r013,csv_sort_table,claude-opus-4-8,no_render,908,1642,5220,false
r014,csv_sort_table,claude-sonnet-4-6,path_ref,967,498,1809,true
r015,csv_sort_table,claude-sonnet-4-6,inline_paste,2344,551,3287,true
r016,csv_sort_table,claude-sonnet-4-6,no_render,894,1573,3941,false
r017,csv_sort_table,claude-haiku-4-5,path_ref,961,472,1104,true
r018,csv_sort_table,claude-haiku-4-5,inline_paste,2338,846,2519,false
r019,csv_sort_table,claude-haiku-4-5,no_render,889,1498,2077,false
r020,csv_sort_table,claude-opus-4-8,path_ref,995,524,2688,true
r021,log_error_chart,claude-opus-4-8,path_ref,1043,873,3915,true
r022,log_error_chart,claude-opus-4-8,inline_paste,3462,902,6734,true
r023,log_error_chart,claude-opus-4-8,no_render,969,1921,7108,false
r024,log_error_chart,claude-sonnet-4-6,path_ref,1028,841,2596,true
r025,log_error_chart,claude-sonnet-4-6,inline_paste,3447,918,5162,true
r026,log_error_chart,claude-sonnet-4-6,no_render,955,1864,4483,false
r027,log_error_chart,claude-haiku-4-5,path_ref,1019,796,1587,false
r028,log_error_chart,claude-haiku-4-5,inline_paste,3433,1244,4025,false
r029,log_error_chart,claude-sonnet-4-6,inline_paste,3501,887,5344,true
r030,log_error_chart,claude-opus-4-8,path_ref,1056,865,3877,true
r031,plan_edit_roundtrip,claude-opus-4-8,path_ref,1418,1104,4602,true
r032,plan_edit_roundtrip,claude-opus-4-8,inline_paste,3947,1138,7215,true
r033,plan_edit_roundtrip,claude-opus-4-8,no_render,1330,2043,8471,false
r034,plan_edit_roundtrip,claude-sonnet-4-6,path_ref,1402,1067,3188,true
r035,plan_edit_roundtrip,claude-sonnet-4-6,inline_paste,3921,1092,5906,true
r036,plan_edit_roundtrip,claude-sonnet-4-6,no_render,1317,1988,5237,false
r037,plan_edit_roundtrip,claude-haiku-4-5,path_ref,1394,983,1962,true
r038,plan_edit_roundtrip,claude-haiku-4-5,inline_paste,3908,1451,4630,false
r039,plan_edit_roundtrip,claude-haiku-4-5,no_render,1305,1877,3344,false
r040,plan_edit_roundtrip,claude-opus-4-8,inline_paste,4012,1126,7388,true
r041,mermaid_render,claude-opus-4-8,path_ref,876,634,2911,true
r042,mermaid_render,claude-opus-4-8,inline_paste,1742,651,3804,true
r043,mermaid_render,claude-opus-4-8,no_render,812,1367,4560,false
r044,mermaid_render,claude-sonnet-4-6,path_ref,864,612,2043,true
r045,mermaid_render,claude-sonnet-4-6,inline_paste,1729,628,3115,true
r046,mermaid_render,claude-sonnet-4-6,no_render,801,1298,3402,false
r047,mermaid_render,claude-haiku-4-5,path_ref,858,571,1236,true
r048,mermaid_render,claude-haiku-4-5,inline_paste,1721,933,2488,false
r049,mermaid_render,claude-haiku-4-5,no_render,796,1224,1893,false
r050,mermaid_render,claude-opus-4-8,path_ref,883,647,2954,true
